race,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,timestamp,contestdate
2020D,Texas,12/11/2019,Andrew Yang,2.307409,3.207123,06:59:32  2 Jan 2020,3/3/2020
2020D,Tennessee,12/11/2019,Andrew Yang,0,1.206514,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Andrew Yang,2.373731,2.722751,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,Andrew Yang,.9096112,2.212578,06:59:32  2 Jan 2020,4/28/2020
2020D,Oregon,12/11/2019,Andrew Yang,4.000001,7.116288,06:59:32  2 Jan 2020,5/19/2020
2020D,Oklahoma,12/11/2019,Andrew Yang,4.01e-07,1.471178,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,Andrew Yang,2.154418,3.420166,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,Andrew Yang,2.455478,3.033936,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,Andrew Yang,2.012967,2.524382,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,Andrew Yang,.8853757,1.676825,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,Andrew Yang,3.827586,3.946445,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,Andrew Yang,2.625066,3.214,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,Andrew Yang,3.386137,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,Andrew Yang,4.01e-07,.5229079,06:59:32  2 Jan 2020,6/2/2020
2020D,Missouri,12/11/2019,Andrew Yang,1.000001,1.507159,06:59:32  2 Jan 2020,3/10/2020
2020D,Mississippi,12/11/2019,Andrew Yang,.1489226,1.842098,06:59:32  2 Jan 2020,3/10/2020
2020D,Minnesota,12/11/2019,Andrew Yang,2.467592,4.231856,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,Andrew Yang,1.172107,2.182493,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,Andrew Yang,.6634561,1.908501,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,Andrew Yang,1.000001,1.502686,06:59:32  2 Jan 2020,4/28/2020
2020D,Maine,12/11/2019,Andrew Yang,2.823809,3.920126,06:59:32  2 Jan 2020,3/3/2020
2020D,Iowa,12/11/2019,Andrew Yang,2.022228,2.21791,06:59:32  2 Jan 2020,2/3/2020
2020D,Illinois,12/11/2019,Andrew Yang,.67612,1.391435,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Andrew Yang,2.418932,3.185147,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Andrew Yang,1.272968,3.126259,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Andrew Yang,1.000001,1.130834,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,Andrew Yang,2.554675,3.891956,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,Andrew Yang,5.270653,5.392291,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,Andrew Yang,4.07368,4.740449,06:59:32  2 Jan 2020,3/17/2020
2020D,Alabama,12/11/2019,Andrew Yang,.7567696,2.78629,06:59:32  2 Jan 2020,3/3/2020
2020D,Wyoming,12/11/2019,Tom Steyer,4.01e-07,.6470042,06:59:32  2 Jan 2020,4/4/2020
2020D,Wisconsin,12/11/2019,Tom Steyer,.286754,.7424175,06:59:32  2 Jan 2020,4/7/2020
2020D,Texas,12/11/2019,Tom Steyer,.9307122,1.543375,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Tom Steyer,4.992516,5.491777,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,Tom Steyer,.3657717,1.055053,06:59:32  2 Jan 2020,4/28/2020
2020D,Oklahoma,12/11/2019,Tom Steyer,4.01e-07,.8503822,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,Tom Steyer,.7586443,1.60363,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,Tom Steyer,1.052349,1.6226,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,Tom Steyer,4.01e-07,.2509173,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,Tom Steyer,.6662637,1.601142,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,Tom Steyer,2.619314,2.758631,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,Tom Steyer,3.538763,4.269444,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,Tom Steyer,1.444318,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,Tom Steyer,4.01e-07,.6470042,06:59:32  2 Jan 2020,6/2/2020
2020D,Minnesota,12/11/2019,Tom Steyer,4.01e-07,.6985224,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,Tom Steyer,.1780804,.8070069,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,Tom Steyer,.5193983,1.30152,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,Tom Steyer,4.01e-07,.7860806,06:59:32  2 Jan 2020,4/28/2020
2020D,Iowa,12/11/2019,Tom Steyer,2.994185,3.231634,06:59:32  2 Jan 2020,2/3/2020
2020D,Illinois,12/11/2019,Tom Steyer,1.337314,1.819428,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Tom Steyer,.3695625,1.059235,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Tom Steyer,.1832528,.9011554,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Tom Steyer,4.01e-07,.1366941,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,Tom Steyer,.0537418,1.001669,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,Tom Steyer,1.347997,1.492923,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,Tom Steyer,.3622172,.9372072,06:59:32  2 Jan 2020,3/17/2020
2020D,Wyoming,12/11/2019,Julián Castro,4.01e-07,.1488105,06:59:32  2 Jan 2020,4/4/2020
2020D,Wisconsin,12/11/2019,Julián Castro,.0726691,.1442929,06:59:32  2 Jan 2020,4/7/2020
2020D,Washington,12/11/2019,Julián Castro,1.9,1.903988,06:59:32  2 Jan 2020,3/10/2020
2020D,Virginia,12/11/2019,Julián Castro,1.618793,1.649866,06:59:32  2 Jan 2020,3/3/2020
2020D,Texas,12/11/2019,Julián Castro,3.198674,3.276397,06:59:32  2 Jan 2020,3/3/2020
2020D,Tennessee,12/11/2019,Julián Castro,1.000001,.9265075,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Julián Castro,0,.0574962,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,Julián Castro,.2947657,.3848611,06:59:32  2 Jan 2020,4/28/2020
2020D,Oregon,12/11/2019,Julián Castro,1.000001,1.08461,06:59:32  2 Jan 2020,5/19/2020
2020D,Oklahoma,12/11/2019,Julián Castro,4.01e-07,0,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,Julián Castro,.6233016,.6573896,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,Julián Castro,.4836745,.6012057,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,Julián Castro,.550114,.6270499,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,Julián Castro,0,.011174,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,Julián Castro,.2414834,.2850433,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,Julián Castro,.7978185,.9399585,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,Julián Castro,.9520355,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,Julián Castro,4.01e-07,.1488105,06:59:32  2 Jan 2020,6/2/2020
2020D,Missouri,12/11/2019,Julián Castro,4.01e-07,0,06:59:32  2 Jan 2020,3/10/2020
2020D,Mississippi,12/11/2019,Julián Castro,4.01e-07,0,06:59:32  2 Jan 2020,3/10/2020
2020D,Minnesota,12/11/2019,Julián Castro,.6639184,.7694278,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,Julián Castro,.2235544,.3299761,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,Julián Castro,.3115853,.4015037,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,Julián Castro,4.01e-07,0,06:59:32  2 Jan 2020,4/28/2020
2020D,Maine,12/11/2019,Julián Castro,.5412481,.6415434,06:59:32  2 Jan 2020,3/3/2020
2020D,Iowa,12/11/2019,Julián Castro,.4300951,.5095412,06:59:32  2 Jan 2020,2/3/2020
2020D,Illinois,12/11/2019,Julián Castro,1.137313,1.164517,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Julián Castro,.997398,1.032577,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Julián Castro,.5359944,.625831,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Julián Castro,4.01e-07,.0855081,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,Julián Castro,.0374273,.0940576,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,Julián Castro,.8675576,.9242606,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,Julián Castro,.7406181,.878693,06:59:32  2 Jan 2020,3/17/2020
2020D,Alabama,12/11/2019,Julián Castro,.7355692,.7757541,06:59:32  2 Jan 2020,3/3/2020
2020D,Wisconsin,12/11/2019,Deval Patrick,4.01e-07,0,06:59:32  2 Jan 2020,4/7/2020
2020D,Texas,12/11/2019,Deval Patrick,1.184331,1.118245,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Deval Patrick,.6035996,.3929209,06:59:32  2 Jan 2020,2/29/2020
2020D,New York,12/11/2019,Deval Patrick,4.01e-07,0,06:59:32  2 Jan 2020,4/28/2020
2020D,New Hampshire,12/11/2019,Deval Patrick,.2099979,.0705819,06:59:32  2 Jan 2020,2/11/2020
2020D,National,12/11/2019,Deval Patrick,.5525697,,06:59:32  2 Jan 2020,
2020D,Iowa,12/11/2019,Deval Patrick,.0856024,0,06:59:32  2 Jan 2020,2/3/2020
2020D,Illinois,12/11/2019,Deval Patrick,2.400001,2.105364,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Deval Patrick,4.01e-07,0,06:59:32  2 Jan 2020,4/28/2020
2020D,California,12/11/2019,Deval Patrick,.108618,0,06:59:32  2 Jan 2020,3/3/2020
2020D,Wyoming,12/11/2019,John K. Delaney,4.01e-07,.1200433,06:59:32  2 Jan 2020,4/4/2020
2020D,Wisconsin,12/11/2019,John K. Delaney,.0682465,.1337949,06:59:32  2 Jan 2020,4/7/2020
2020D,Washington,12/11/2019,John K. Delaney,1.000001,1.115032,06:59:32  2 Jan 2020,3/10/2020
2020D,Virginia,12/11/2019,John K. Delaney,.075491,.1828479,06:59:32  2 Jan 2020,3/3/2020
2020D,Texas,12/11/2019,John K. Delaney,.3658384,.4808878,06:59:32  2 Jan 2020,3/3/2020
2020D,Tennessee,12/11/2019,John K. Delaney,.1734869,.244844,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,John K. Delaney,.5001611,.5888358,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,John K. Delaney,.0545165,.1508242,06:59:32  2 Jan 2020,4/28/2020
2020D,Oregon,12/11/2019,John K. Delaney,1.000001,1.027188,06:59:32  2 Jan 2020,5/19/2020
2020D,Oklahoma,12/11/2019,John K. Delaney,.8,.8867158,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,John K. Delaney,.7038543,.794158,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,John K. Delaney,0,.0418896,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,John K. Delaney,4.01e-07,.0816428,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,John K. Delaney,4.01e-07,.1053778,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,John K. Delaney,.1677116,.200925,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,John K. Delaney,.0883634,.2054431,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,John K. Delaney,.4676299,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,John K. Delaney,4.01e-07,.1200433,06:59:32  2 Jan 2020,6/2/2020
2020D,Mississippi,12/11/2019,John K. Delaney,.5109863,.5975953,06:59:32  2 Jan 2020,3/10/2020
2020D,Minnesota,12/11/2019,John K. Delaney,.1567379,.2618985,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,John K. Delaney,.3046493,.4104759,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,John K. Delaney,.4573332,.5967336,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,John K. Delaney,1.000001,1.097548,06:59:32  2 Jan 2020,4/28/2020
2020D,Iowa,12/11/2019,John K. Delaney,.0575152,.1111666,06:59:32  2 Jan 2020,2/3/2020
2020D,Illinois,12/11/2019,John K. Delaney,.0537313,.1112294,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,John K. Delaney,.3669471,.4852694,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,John K. Delaney,.3896739,.4865316,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,John K. Delaney,1.000001,1.05719,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,John K. Delaney,.0517295,.2595197,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,John K. Delaney,.101467,.1568201,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,John K. Delaney,.3112417,.4394338,06:59:32  2 Jan 2020,3/17/2020
2020D,Alabama,12/11/2019,John K. Delaney,.4156854,.4610553,06:59:32  2 Jan 2020,3/3/2020
2020D,Wyoming,12/11/2019,Amy Klobuchar,1.000001,1.429197,06:59:32  2 Jan 2020,4/4/2020
2020D,Wisconsin,12/11/2019,Amy Klobuchar,2.133065,2.529121,06:59:32  2 Jan 2020,4/7/2020
2020D,Washington,12/11/2019,Amy Klobuchar,1.000001,2.105287,06:59:32  2 Jan 2020,3/10/2020
2020D,Virginia,12/11/2019,Amy Klobuchar,1.044038,1.867947,06:59:32  2 Jan 2020,3/3/2020
2020D,Texas,12/11/2019,Amy Klobuchar,1.224814,1.827109,06:59:32  2 Jan 2020,3/3/2020
2020D,Tennessee,12/11/2019,Amy Klobuchar,1.05905,2.107551,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Amy Klobuchar,1.324737,1.590599,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,Amy Klobuchar,.9971316,1.574773,06:59:32  2 Jan 2020,4/28/2020
2020D,Oklahoma,12/11/2019,Amy Klobuchar,.5000005,1.523941,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,Amy Klobuchar,.514456,1.283467,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,Amy Klobuchar,1.020633,1.439944,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,Amy Klobuchar,1.000001,1.504789,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,Amy Klobuchar,.3789002,1.339271,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,Amy Klobuchar,2.616925,2.757648,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,Amy Klobuchar,1.498672,1.913769,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,Amy Klobuchar,2.203159,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,Amy Klobuchar,2.000001,2.478789,06:59:32  2 Jan 2020,6/2/2020
2020D,Missouri,12/11/2019,Amy Klobuchar,1.000001,1.883084,06:59:32  2 Jan 2020,3/10/2020
2020D,Mississippi,12/11/2019,Amy Klobuchar,.893961,1.913376,06:59:32  2 Jan 2020,3/10/2020
2020D,Minnesota,12/11/2019,Amy Klobuchar,15.54336,17.39423,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,Amy Klobuchar,1.216188,1.734849,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,Amy Klobuchar,1.112917,1.82167,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,Amy Klobuchar,1.000001,1.872503,06:59:32  2 Jan 2020,4/28/2020
2020D,Maine,12/11/2019,Amy Klobuchar,4.01e-07,.9246601,06:59:32  2 Jan 2020,3/3/2020
2020D,Iowa,12/11/2019,Amy Klobuchar,7.746586,7.927722,06:59:32  2 Jan 2020,2/3/2020
2020D,Indiana,12/11/2019,Amy Klobuchar,4.01e-07,.5482989,06:59:32  2 Jan 2020,5/5/2020
2020D,Illinois,12/11/2019,Amy Klobuchar,2.183582,2.787475,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Amy Klobuchar,1.213611,1.973232,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Amy Klobuchar,1.149726,1.866131,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Amy Klobuchar,1.000001,1.119244,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,Amy Klobuchar,.2961057,1.383163,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,Amy Klobuchar,1.671221,1.793662,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,Amy Klobuchar,1.528239,2.014589,06:59:32  2 Jan 2020,3/17/2020
2020D,Alabama,12/11/2019,Amy Klobuchar,.7612584,1.274962,06:59:32  2 Jan 2020,3/3/2020
2020D,Wisconsin,12/11/2019,Michael Bloomberg,3,3.310221,06:59:32  2 Jan 2020,4/7/2020
2020D,Texas,12/11/2019,Michael Bloomberg,5.000001,5.248774,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Michael Bloomberg,1.768753,3.578507,06:59:32  2 Jan 2020,2/29/2020
2020D,New Hampshire,12/11/2019,Michael Bloomberg,1.546315,2.814504,06:59:32  2 Jan 2020,2/11/2020
2020D,National,12/11/2019,Michael Bloomberg,4.666881,,06:59:32  2 Jan 2020,
2020D,Iowa,12/11/2019,Michael Bloomberg,1.407273,2.336139,06:59:32  2 Jan 2020,2/3/2020
2020D,Illinois,12/11/2019,Michael Bloomberg,3.6,5.076676,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Michael Bloomberg,6,8.592278,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Michael Bloomberg,1.000001,3.534226,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Michael Bloomberg,1.000001,2.534447,06:59:32  2 Jan 2020,4/28/2020
2020D,California,12/11/2019,Michael Bloomberg,3.768037,4.691672,06:59:32  2 Jan 2020,3/3/2020
2020D,Wyoming,12/11/2019,Cory A. Booker,4.01e-07,0,06:59:32  2 Jan 2020,4/4/2020
2020D,Wisconsin,12/11/2019,Cory A. Booker,2.429747,2.41028,06:59:32  2 Jan 2020,4/7/2020
2020D,Washington,12/11/2019,Cory A. Booker,1.1,1.113142,06:59:32  2 Jan 2020,3/10/2020
2020D,Virginia,12/11/2019,Cory A. Booker,1.925868,1.372176,06:59:32  2 Jan 2020,3/3/2020
2020D,Texas,12/11/2019,Cory A. Booker,1.544865,1.314767,06:59:32  2 Jan 2020,3/3/2020
2020D,Tennessee,12/11/2019,Cory A. Booker,.5459911,.5595744,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Cory A. Booker,2.304223,2.292162,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,Cory A. Booker,1.705584,1.373526,06:59:32  2 Jan 2020,4/28/2020
2020D,Oregon,12/11/2019,Cory A. Booker,4.000001,2.404593,06:59:32  2 Jan 2020,5/19/2020
2020D,Oklahoma,12/11/2019,Cory A. Booker,1.5,1.581985,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,Cory A. Booker,1.483848,1.357153,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,Cory A. Booker,1.715072,1.675408,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,Cory A. Booker,1.120433,1.015658,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,Cory A. Booker,6.89243,6.354785,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,Cory A. Booker,1.678962,1.729255,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,Cory A. Booker,1.245028,1.193152,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,Cory A. Booker,1.731247,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,Cory A. Booker,4.01e-07,0,06:59:32  2 Jan 2020,6/2/2020
2020D,Missouri,12/11/2019,Cory A. Booker,1.000001,.6955458,06:59:32  2 Jan 2020,3/10/2020
2020D,Mississippi,12/11/2019,Cory A. Booker,1.922684,1.810151,06:59:32  2 Jan 2020,3/10/2020
2020D,Minnesota,12/11/2019,Cory A. Booker,.9364859,.715951,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,Cory A. Booker,1.602529,1.402083,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,Cory A. Booker,1.093116,.6297924,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,Cory A. Booker,1.000001,.7046381,06:59:32  2 Jan 2020,4/28/2020
2020D,Maine,12/11/2019,Cory A. Booker,2.366731,2.281447,06:59:32  2 Jan 2020,3/3/2020
2020D,Iowa,12/11/2019,Cory A. Booker,2.670316,2.722987,06:59:32  2 Jan 2020,2/3/2020
2020D,Indiana,12/11/2019,Cory A. Booker,1.000001,.3161171,06:59:32  2 Jan 2020,5/5/2020
2020D,Illinois,12/11/2019,Cory A. Booker,1.883582,1.961435,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Cory A. Booker,1.82226,1.611695,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Cory A. Booker,1.57644,1.130224,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Cory A. Booker,3,3.129508,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,Cory A. Booker,2.201266,1.856838,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,Cory A. Booker,2.102059,2.161505,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,Cory A. Booker,.5727059,.5263647,06:59:32  2 Jan 2020,3/17/2020
2020D,Alabama,12/11/2019,Cory A. Booker,7.041712,5.501774,06:59:32  2 Jan 2020,3/3/2020
2020D,Wyoming,12/11/2019,Elizabeth Warren,82,74.66459,06:59:32  2 Jan 2020,4/4/2020
2020D,Wisconsin,12/11/2019,Elizabeth Warren,20.38295,16.46032,06:59:32  2 Jan 2020,4/7/2020
2020D,Washington,12/11/2019,Elizabeth Warren,13.5,13.25817,06:59:32  2 Jan 2020,3/10/2020
2020D,Virginia,12/11/2019,Elizabeth Warren,9.531817,11.74052,06:59:32  2 Jan 2020,3/3/2020
2020D,Texas,12/11/2019,Elizabeth Warren,13.71413,12.26651,06:59:32  2 Jan 2020,3/3/2020
2020D,Tennessee,12/11/2019,Elizabeth Warren,16.99473,17.44025,06:59:32  2 Jan 2020,3/3/2020
2020D,South Carolina,12/11/2019,Elizabeth Warren,11.62767,8.880134,06:59:32  2 Jan 2020,2/29/2020
2020D,Pennsylvania,12/11/2019,Elizabeth Warren,13.30933,12.37812,06:59:32  2 Jan 2020,4/28/2020
2020D,Oregon,12/11/2019,Elizabeth Warren,6,14.68375,06:59:32  2 Jan 2020,5/19/2020
2020D,Oklahoma,12/11/2019,Elizabeth Warren,11.5,11.38737,06:59:32  2 Jan 2020,3/3/2020
2020D,Ohio,12/11/2019,Elizabeth Warren,16.54999,13.59736,06:59:32  2 Jan 2020,3/17/2020
2020D,North Carolina,12/11/2019,Elizabeth Warren,16.17146,12.00876,06:59:32  2 Jan 2020,3/3/2020
2020D,New York,12/11/2019,Elizabeth Warren,16.97944,12.82991,06:59:32  2 Jan 2020,4/28/2020
2020D,New Jersey,12/11/2019,Elizabeth Warren,18.69311,15.19126,06:59:32  2 Jan 2020,6/2/2020
2020D,New Hampshire,12/11/2019,Elizabeth Warren,14.48442,13.22674,06:59:32  2 Jan 2020,2/11/2020
2020D,Nevada,12/11/2019,Elizabeth Warren,19.22499,15.08402,06:59:32  2 Jan 2020,2/22/2020
2020D,National,12/11/2019,Elizabeth Warren,14.93442,,06:59:32  2 Jan 2020,
2020D,Montana,12/11/2019,Elizabeth Warren,40,31.17571,06:59:32  2 Jan 2020,6/2/2020
2020D,Missouri,12/11/2019,Elizabeth Warren,22,16.5215,06:59:32  2 Jan 2020,3/10/2020
2020D,Mississippi,12/11/2019,Elizabeth Warren,6.71788,7.469596,06:59:32  2 Jan 2020,3/10/2020
2020D,Minnesota,12/11/2019,Elizabeth Warren,19.34007,18.59678,06:59:32  2 Jan 2020,3/3/2020
2020D,Michigan,12/11/2019,Elizabeth Warren,17.21747,15.12397,06:59:32  2 Jan 2020,3/10/2020
2020D,Massachusetts,12/11/2019,Elizabeth Warren,22.33527,22.1059,06:59:32  2 Jan 2020,3/3/2020
2020D,Maryland,12/11/2019,Elizabeth Warren,21,15.54207,06:59:32  2 Jan 2020,4/28/2020
2020D,Maine,12/11/2019,Elizabeth Warren,24.36774,18.95112,06:59:32  2 Jan 2020,3/3/2020
2020D,Iowa,12/11/2019,Elizabeth Warren,14.20302,12.27396,06:59:32  2 Jan 2020,2/3/2020
2020D,Indiana,12/11/2019,Elizabeth Warren,2.000001,6.693795,06:59:32  2 Jan 2020,5/5/2020
2020D,Illinois,12/11/2019,Elizabeth Warren,15.27164,14.64682,06:59:32  2 Jan 2020,3/17/2020
2020D,Georgia,12/11/2019,Elizabeth Warren,15.46157,12.19413,06:59:32  2 Jan 2020,3/24/2020
2020D,Florida,12/11/2019,Elizabeth Warren,10.85602,13.08756,06:59:32  2 Jan 2020,3/17/2020
2020D,Delaware,12/11/2019,Elizabeth Warren,11,9.502067,06:59:32  2 Jan 2020,4/28/2020
2020D,Colorado,12/11/2019,Elizabeth Warren,20.09501,17.81747,06:59:32  2 Jan 2020,3/3/2020
2020D,California,12/11/2019,Elizabeth Warren,17.70137,16.15641,06:59:32  2 Jan 2020,3/3/2020
2020D,Arizona,12/11/2019,Elizabeth Warren,21.91976,15.96158,06:59:32  2 Jan 2020,3/17/2020
2020D,Alabama,12/11/2019,Elizabeth Warren,4.821003,10.12975,06:59:32  2 Jan 2020,3/3/2020
2020D,Wyoming,12/11/2019,Bernard Sanders,4.01e-07,.5827675,06:59:32  2 Jan 2020,4/4/2020
