race,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,timestamp,contestdate
2020D,Wisconsin,4/7/2020,Joseph R. Biden Jr.,38.16011,53.04758,07:15:13  7 Apr 2020,4/7/2020
2020D,Pennsylvania,4/7/2020,Joseph R. Biden Jr.,31.41936,57.34093,07:15:13  7 Apr 2020,6/2/2020
2020D,Oregon,4/7/2020,Joseph R. Biden Jr.,25.47065,50.82044,07:15:13  7 Apr 2020,5/19/2020
2020D,Ohio,4/7/2020,Joseph R. Biden Jr.,51.37396,60.76271,07:15:13  7 Apr 2020,4/28/2020
2020D,New York,4/7/2020,Joseph R. Biden Jr.,22.76955,51.37672,07:15:13  7 Apr 2020,6/23/2020
2020D,New Mexico,4/7/2020,Joseph R. Biden Jr.,25.51901,52.58595,07:15:13  7 Apr 2020,6/2/2020
2020D,New Jersey,4/7/2020,Joseph R. Biden Jr.,25.08727,54.82905,07:15:13  7 Apr 2020,6/2/2020
2020D,National,4/7/2020,Joseph R. Biden Jr.,53.54781,,07:15:13  7 Apr 2020,
2020D,Montana,4/7/2020,Joseph R. Biden Jr.,15,38.57058,07:15:13  7 Apr 2020,6/2/2020
2020D,Maryland,4/7/2020,Joseph R. Biden Jr.,22.66401,57.36927,07:15:13  7 Apr 2020,6/2/2020
2020D,Kansas,4/7/2020,Joseph R. Biden Jr.,55.33938,59.38606,07:15:13  7 Apr 2020,5/2/2020
2020D,Indiana,4/7/2020,Joseph R. Biden Jr.,33,54.55359,07:15:13  7 Apr 2020,6/2/2020
2020D,Georgia,4/7/2020,Joseph R. Biden Jr.,40.26781,65.23137,07:15:13  7 Apr 2020,5/19/2020
2020D,Delaware,4/7/2020,Joseph R. Biden Jr.,32.20941,61.49681,07:15:13  7 Apr 2020,6/2/2020
2020D,Connecticut,4/7/2020,Joseph R. Biden Jr.,37.95837,60.2675,07:15:13  7 Apr 2020,6/2/2020
2020D,Wyoming,4/6/2020,Bernard Sanders,4.01e-07,7.674433,20:30:12  6 Apr 2020,4/17/2020
